Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
Full 2015-01 to 2026-03,15265,54.48,1.368,86558.7,2201.7,39.31,5.67
Legacy IS 2015-01 to 2025-12,14917,54.54,1.371,85199.9,2201.7,38.7,5.71
Legacy OOS 2026-01 to 2026-03,348,52.01,1.237,1358.8,600.0,2.26,3.9
Strict IS 2015-01 to 2024-12,13724,54.46,1.364,76673.1,2201.7,34.82,5.59
Strict OOS 2025-01 to 2026-03,1541,54.7,1.403,9885.6,872.8,11.33,6.42
