Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
CrossJPY_16,8449,54.86,1.432,54986.9,1542.5,35.65,6.51
EA_Rev4,2604,53.26,1.261,13367.0,1349.5,9.91,5.13
China_Demand,2372,55.69,1.441,9978.8,924.2,10.8,4.21
GA,1840,52.93,1.241,8226.0,1057.7,7.78,4.47
